libhwy1t64:amd64	1.0.7-8.1build1	highway	1.0.7-8.1build1
libhyphen0:amd64	2.8.8-7build3	hyphen	2.8.8-7build3
libice-dev:amd64	2:1.0.10-1build3	libice	2:1.0.10-1build3
libice6:amd64	2:1.0.10-1build3	libice	2:1.0.10-1build3
libicu-dev:amd64	74.2-1ubuntu3.1	icu	74.2-1ubuntu3.1
libicu74:amd64	74.2-1ubuntu3.1	icu	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1.1	libidn2	2.3.7-2build1.1
libiec61883-0:amd64	1.2.0-6build1	libiec61883	1.2.0-6build1
libisl23:amd64	0.26-3build1.1	isl	0.26-3build1.1
libitm1:amd64	14.2.0-4ubuntu2~24.04.1	gcc-14	14.2.0-4ubuntu2~24.04.1
libjack-jackd2-0:amd64	1.9.21~dfsg-3ubuntu3	jackd2	1.9.21~dfsg-3ubuntu3
libjansson4:amd64	2.14-2build2	jansson	2.14-2build2
libjavascriptcoregtk-4.1-0:amd64	2.52.6-0ubuntu0.24.04.1	webkit2gtk	2.52.6-0ubuntu0.24.04.1
libjavascriptcoregtk-4.1-dev:amd64	2.52.6-0ubuntu0.24.04.1	webkit2gtk	2.52.6-0ubuntu0.24.04.1
libjbig-dev:amd64	2.1-6.1ubuntu2	jbigkit	2.1-6.1ubuntu2
libjbig0:amd64	2.1-6.1ubuntu2	jbigkit	2.1-6.1ubuntu2
libjbig2dec0:amd64	0.20-1ubuntu0.24.04.1	jbig2dec	0.20-1ubuntu0.24.04.1
libjbig2dec0-dev:amd64	0.20-1ubuntu0.24.04.1	jbig2dec	0.20-1ubuntu0.24.04.1
libjpeg-dev:amd64	8c-2ubuntu11	libjpeg8-empty	8c-2ubuntu11
libjpeg-turbo8:amd64	2.1.5-2ubuntu2	libjpeg-turbo	2.1.5-2ubuntu2
libjpeg-turbo8-dev:amd64	2.1.5-2ubuntu2	libjpeg-turbo	2.1.5-2ubuntu2
libjpeg8:amd64	8c-2ubuntu11	libjpeg8-empty	8c-2ubuntu11
libjpeg8-dev:amd64	8c-2ubuntu11	libjpeg8-empty	8c-2ubuntu11
libjson-glib-1.0-0:amd64	1.8.0-2build2	json-glib	1.8.0-2build2
libjson-glib-1.0-common	1.8.0-2build2	json-glib	1.8.0-2build2
libjxl0.7:amd64	0.7.0-10.2ubuntu6.1	jpeg-xl	0.7.0-10.2ubuntu6.1
